Site,Station,Group,Month,Temp(C),Hard(mgL),Alkalinity(mgL),Nitrates(ugL),Nitrites(ugL),SRP(ugL),Sio2(mgL),NH4(ugL),TN(ugL),TP(ugL),Chloro. A(ugL),Turb(FTU),TDS(mg/L),Cond,DO(mg/L),ORP(mV),pH,secchi(m),LNW,BSW,BAW,SVW,SAW,MVW,LVW,HW,BJW,ONW,BPW,PAW,OVW,TZW,MKW,MPW,SW,TotalBiomass,Shan,Snum,J
Dunga,Cages,DungaCages,November,26.145,44.66666667,81.66666667,31.3030303,11.90909091,62.47619048,21.96568628,27.54166667,655.0909091,107.7142857,16.03333333,38.45,79,157.5,4.555,187.7,7.705,0.4,46.24,0,0.05,32.16,0,1.11,0,0,1.42,0,0,0,0,0,0,0,0,80.98,0.859435559,5,0.533997337
Dunga,Cages,DungaCages,December,25.61,43,70.33333333,16.45454546,10.94949495,43.42857143,23.53529412,12.64583333,477.5151515,78.90476191,14.535,27.35,82,164,6.3,110.3,7.085,0.525,287.4,156,36.5,353.4,30.5,0,54.6,0,0,0,0,0,0,0,0,0,0,918.4,1.38531905,6,0.773161283
Dunga,Cages,DungaCages,January,26.46,34.33333333,70,10.57166667,6.575,28.11333333,25.805,13.125,543.355,107.4433333,17.02666667,32.55,45.5,140.5,4.73,82.4,7.425,0.4,340.7,66.7,66.3,669.3,63.2,0,161.7,0,2.8,42.6,0,0,0,0,0,0,0,1413.3,1.64893014,8,0.792967779
Dunga,Cages,DungaCages,February,26.595,28.66666667,62.33333333,28.57434343,6.808888889,38.80880952,20.66872549,51.70916667,989.1136363,126.905,18.64466667,55.95,102.5,205.5,5.595,29.1,7.67,0.375,649.5,407.5,202.5,979.2,28.6,14.5,35.6,0,2.8,0,0,0,0,0,0,0,0,2320.2,1.477937054,8,0.710737486
Dunga,Cages,DungaCages,March,27.195,34,92.33333333,7.701111111,5.395959596,12,11.14264706,38.6675,658.8625758,144.3085714,53.58947333,86.05,106.75,181.5,5.185,19.65,7.83,0.2,32.9,0,30,121.5,0,0,0,0,0,0,0,0,0,0,0,0,0,184.4,1.034601233,3,0.941734626
Dunga,Cages,DungaCages,April,26.675,41,102.3333333,11.95,11.17166667,23.665,1.695,12.85666667,571.265,177.1583333,29.02333333,69.55,127,254,5.585,6.7,7.55,0.3,2235.6,0,43.6,1890.9,0,0,76.5,0,0,0,0,0,0,0,0,0,0,4246.6,0.900697172,4,0.649715671
Dunga,Cages,DungaCages,May,26.715,42,84.66666667,3.165808081,2.212121212,2.952380953,1.55,10.14583333,107.5151515,61.28571429,26.03833333,20,84,168,4.415,-124.9,6.95,0.5,717.7,48.9,4.1,1228.4,0,0,60.2,0,0,0,0,0,0,0,0,0,0,2059.3,1.12459429,5,0.698749719
Dunga,Cages,DungaCages,June,24.5,34,76.66666667,4.282828283,1.656565657,5.095238095,6.008823529,25.70583333,104.1818182,66.83333333,16.431,22.9,81,163,3.845,-195.2,7.415,0.375,560.5,28,4.5,1596.4,0,0,227,0,0,0,0,0,0,0,0,0,0,2416.4,0.977238228,5,0.60719225
Dunga,Cages,DungaCages,July,25.355,31.66666667,73.66666667,14.33333333,9.989898991,28.42857143,12.67284314,54.20833333,343.7418182,202.2433333,37.17233333,39.4,70,140,5.07,-174.6,7.39,0.35,714.6,71.6,57.3,1007.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1851.3,1.249913517,4,0.901622016
Mfangano,Cages,MfanganoCages,November,26.33,39.33333333,60.33333333,2.666666667,1.101010101,8.19047619,3.289215686,4.520833333,335.3939394,39.61904762,6.391666667,1.65,52,104,6.85,88,8.56,2.675,304.6,20.2,0,0,0,0,0,1435.6,0,0,0,0,0,0,0,0,0,1760.4,0.354829009,3,0.322979282
Mfangano,Cages,MfanganoCages,December,25.4,33.03333333,54.66666667,7.464646465,1.050505051,29.85714286,3.103921569,49.3125,248.4242424,93.19047617,4.313333333,1.4,46.5,93,4.875,45.2,7.76,3.05,59.9,0,0,0,0,0,0,1788.8,0,0,0,0,0,0,0,0,0,1848.7,0.112515934,2,0.16232618
Mfangano,Cages,MfanganoCages,January,26.22,22.33333333,46,2.543333333,1.323333333,15.33333333,2.025,22.18666667,187.0016667,31.49333333,12.11333333,1.65,37.5,101.15,5.505,73.95,7.96,2.55,0,0,0,0,0,0,0,693.5,0,0,0,0,0,0,0,0,0,693.5,0,1,0
Mfangano,Cages,MfanganoCages,February,27.085,41.33333333,58.33333333,9.080707071,0.443131313,12.23809524,5.372745098,3.376666667,523.3798485,44.38166667,15.55383333,1.25,47,94,5.96,-0.95,8.495,2.8,6.7,0,0,0,0,0,0,2335.7,0,0,0,0,0,0,0,0,0,2342.4,0.05338403,2,0.077016876
Mfangano,Cages,MfanganoCages,March,27.435,29.66666667,56,4.268888889,1.201515152,22.24166667,3.416764706,12.89333333,584.484697,51.21547619,8.8756575,1.65,58.5,103,6.14,-0.8,7.96,2.15,24.5,0,0,0,0,0,0,1142.3,0,0,0,0,0,0,0,0,0,1166.8,0.063961714,2,0.092277248
Mfangano,Cages,MfanganoCages,April,27.265,27.33333333,62,1.593333333,0.524,4.178333333,2.86,2.588333333,180.6116667,95.68166667,3.688333333,2.25,55,110.5,6.31,-51.2,8.21,1.95,103.5,0,0,0,0,0,0,1882.5,0,0,0,0,0,8.3,0,0,0,1994.3,0.216871259,3,0.197404727
Mfangano,Cages,MfanganoCages,May,26.74,29.33333333,51.66666667,1.910555556,0.848484849,3.190476191,2.329411765,3.375,64.78787879,25.57142858,3.635,1.65,47.5,95,5.94,-166.35,7.88,2.5,1391.2,0,0,0,0,0,0,1416.8,0,25.7,0,0,0,0,0,0,0,2833.7,0.703892435,3,0.640710506
Mfangano,Cages,MfanganoCages,June,25.59,28.66666667,51.33333333,3.878787879,0.545454546,17,2.61745098,4.209166667,35.09090909,46.76166667,5.152666667,1.1,44.5,89,3.775,-122.35,7.3,3.3,0,0,0,0,0,0,0,915.6,0,0,0,0,0,0,0,0,0,915.6,0,1,0
Mfangano,Cages,MfanganoCages,July,25.34,22,50.33333333,5.797979798,1.505050505,22.71428572,1.329803922,9.729166667,64.18181818,138.9471429,7.276,1.35,51,101.5,5.825,-160.6,7.755,2.85,0,0,0,0,0,0,0,516.3,0,0,0,0,0,0,0,0,0,516.3,0,1,0
Naya,Cages,NayaCages,November,28.205,40.33333333,77,7.616161616,6.202020201,27.71428571,8.338235294,29.9375,487.8181818,84.61904762,14.94166667,9.6,60.5,120.5,6.575,92,8.39,1,1480.7,635.2,0,275.7,0,0,0,324.7,1606.2,6.4,0,0,0,0,0,0,0,4328.9,1.515903447,6,0.846041822
Naya,Cages,NayaCages,December,25.59,39.33333333,60,16.90909091,3.676767677,41.04761905,8.138235294,18.58333333,456.9090909,67.71428571,8.828333333,8.2,56.5,114,5.495,65.65,7.315,1.15,0,199.2,0,0,0,0,0,209.1,789.6,0,0,0,0,0,0,0,0,1197.9,1.039013007,3,0.945750396
Naya,Cages,NayaCages,January,27.265,34,54,4.865,2.635,20.61166667,3.448333333,9.375,242.7,70.91666667,21.16333333,8.8,52,105,5.88,41.7,8.2,0.91,42.1,118.4,0,11.1,0,0,0,548.8,227,52.6,0,0,0,0,0,0,0,1000,1.207375005,6,0.673848821
Naya,Cages,NayaCages,February,27.825,29,62.33333333,9.931262627,0.746818182,17.54404762,5.496078431,12.12583333,648.1201515,73.26285714,13.7175,9.935,51.5,103,6.05,-29.05,8.915,1.025,43,200.4,0,0,0,0,0,764.5,1289.1,0,0,0,0,0,0,0,0,2297,1.179099466,4,0.850540476
Naya,Cages,NayaCages,March,27.845,27.66666667,65.66666667,5.384292929,1.345353535,15.70095238,6.303333333,12.87416667,662.7874243,64.85642857,14.54471883,7.25,54.5,108.5,6.39,-36.65,8.18,1.2,266.9,0,0,0,0,0,0,279.3,837.1,0,0,0,0,0,0,0,0,1383.3,0.955131195,3,0.869397881
Naya,Cages,NayaCages,April,27.185,28,62.33333333,3.646666667,0.52,5.973333333,6.188333333,4.108333333,206.525,111.3816667,8.01,7.3,55,110.5,5.325,-38.85,7.655,1.3,67.7,28.4,0,0,0,0,119.6,113,1014.5,0,0,0,0,0,0,0,0,1343.2,1.09440863,5,0.679994314
Naya,Cages,NayaCages,May,28.585,40,65,3.492828283,1.606060606,2.476190476,3.270588235,4.6875,53.27272728,31.28571429,8.571666667,5.8,54,107.5,6.09,-175.1,8.16,1.15,300.7,5.5,0,0,0,0,0,147,1610.7,0,0,0,0,0,0,0,0,2063.9,0.934968311,4,0.674437073
Naya,Cages,NayaCages,June,26.755,32,70.33333333,4.232323232,1.505050505,5.095238096,4.696470588,24.79166667,74.18181818,44.68928572,16.05366667,6.95,54,108,4.88,-173.8,8.175,1.15,316.4,276.4,0,0,0,0,0,193,1127.8,0,0,0,0,0,0,0,0,1913.6,1.13069475,4,0.815623854
Naya,Cages,NayaCages,July,26.88,32.33333333,63.16666667,12.31313132,3.727272727,12.71428572,2.809803922,22.95833333,141.7575758,136.1088095,10.026,8.65,60,120,6.725,-195.85,8.42,1,154.5,79,0,0,0,0,0,0,988.2,0,0,0,0,0,0,0,0,1221.7,0.711678661,3,0.647797834
Ndere,Cages,NdereCages,November,26.545,49,82.66666667,28.37373737,10.24242424,54.61904762,24.22058823,19.41666667,402.0606061,125.3333333,8.241666667,34.55,80,160.5,6.055,74.75,7.545,0.55,185.4,4.9,0,770.5,0,17.5,0,0,46.8,0,0,0,0,0,0,0,0,1025.1,0.866969014,5,0.538678136
Ndere,Cages,NdereCages,December,25.935,41.66666667,74.66666667,32.06060606,11.45454546,61.52380952,23.58921569,24.41666667,978.7272728,83.90476191,14.105,28.9,78,156,5.94,61.35,7.435,0.575,863.2,0,0,192.8,0,18.9,0,0,0,0,0,0,0,0,0,0,0,1074.9,0.431819403,3,0.393058959
Ndere,Cages,NdereCages,January,25.895,39.66666667,73.66666667,7.818333333,5.363333333,22,24.54166667,11.56166667,325.0033333,97.68333333,15.295,26.25,67,151.2,5.64,51.8,8.13,0.5,293.8,286.2,17.4,763.5,395.8,0,0,0,29.5,0,0,0,0,0,0,0,0,1786.2,1.37305359,6,0.7663158
Ndere,Cages,NdereCages,February,26.38,42,84.33333333,17.86762626,0.696818182,21.28571429,22.99519608,17.855,850.1659091,146.9047619,40.46266667,29.4,98.5,166.5,6.035,22.85,7.875,0.5,46.2,30.3,4,93.9,25.4,0,0,0,45.1,0,0,0,0,0,0,0,0,244.9,1.524707393,6,0.850955398
Ndere,Cages,NdereCages,March,27.39,41.66666667,84.66666667,10.19545455,4.281717172,10.80928571,14.10431373,31.00416667,760.4836364,98.83380954,68.07807075,35.4,96.525,151.5,6.265,-10.65,8.465,0.3,442.5,36.9,0,122.5,0,23.3,0,0,0,0,0,0,0,0,0,0,0,625.2,1.009778048,4,0.728400891
Ndere,Cages,NdereCages,April,26.97,39,92.66666667,10.11333333,8.545,24.225,7.033333333,13.065,652.0533333,193.2633333,17.42,35.75,74.5,149,6.755,-60.9,8.42,0.5,2936.6,158.8,0,575.6,0,0,0,0,0,0,0,0,0,0,0,0,0,3671,0.671609254,3,0.611325088
Ndere,Cages,NdereCages,May,28.345,39,77.5,10.03626263,7.363636364,19.38095238,12.48137255,19.10416667,72.96969697,84.85714286,18.36666667,31.7,71.5,138.5,6.61,-169.05,8.145,0.6,1439.6,54.5,0,366.7,0,0,0,0,47.3,0,0,0,0,0,0,0,0,1908.1,0.87757854,4,0.633039104
Ndere,Cages,NdereCages,June,24.97,39.66666667,58.33333333,10.29292929,6.707070707,35.0952381,13.90186275,33.89583333,69.93939394,81.04714286,6.640833333,30.9,73.5,147.5,4.545,-184.35,7.835,0.45,406.5,150.6,0,388.6,0,0,0,27.1,0,0,0,0,0,0,0,0,0,972.8,1.015303672,4,0.732386786
Ndere,Cages,NdereCages,July,25.73,28.33333333,75.66666667,15.34343435,10.74747475,24.14285714,10.16607843,18.6875,278.7272727,193.357381,23.77366667,23.05,75.5,147,6.31,-229.55,8.75,0.5,137.7,700.7,0,342.1,0,0,0,0,135.9,0,17.9,0,0,0,0,0,0,1334.3,0.47838584,5,0.297237835
Dunga,Control,DungaControl,November,26.2,43.33333333,80,24.48484849,9.434343435,65.57142857,24.68627451,23.79166667,424.4848485,114.8571429,9.75,38.45,78.5,156.5,4.695,132.45,7.845,0.5,20.88,0,0.52,14.11,0,0.85,0,0,0,0,0.04,0,0,0,0,0,0,36.4,0.994752199,5,0.618074292
Dunga,Control,DungaControl,December,25.82,40.33333333,73.66666667,28.02020202,10.44444444,44.14285714,24.0254902,14.20833333,456.9090909,67,329.3266667,29.2,78.5,156,6.09,67.7,7.41,0.5,280.9,0,0,474.2,0,0,59.1,0,0,0,0,0,0,0,0,0,0,814.2,0.864648515,3,0.787036995
Dunga,Control,DungaControl,January,26.415,40,71.33333333,11.865,7.38,29.77833333,25.55,13.75,370.22,123.7933333,16.30833333,32.15,66,141,5.03,116.9,7.645,0.35,402.5,9.5,0,69.8,0,0,360.8,66.9,0,0,0,0,0,0,0,0,0,909.5,1.342927046,5,0.834407488
Dunga,Control,DungaControl,February,26.41,29.66666667,60.33333333,33.13575758,5.797727273,35.94,23.74960784,46.81333333,906.47,176.5952381,15.626,47.2,96.5,193,5.615,28.4,7.49,0.425,259.1,155.4,0,637.9,37.5,0,357.7,957.7,0,45.5,0,65.2,0,0,0,0,0,2516,1.296787284,8,0.623622861
Dunga,Control,DungaControl,March,27.05,34,93,9.018535354,6.976565656,16.90333333,10.98911765,42.55916667,659.8828788,155.8326191,63.60699067,83.85,107.25,183.5,5.11,18.25,7.58,0.2,24.9,6.5,4.1,0,0,0,61.2,0,0,0,0,0,0,0,0,0,0,96.7,1.609437912,5,1
Dunga,Control,DungaControl,April,26.865,39.66666667,95,11.31,10.08,16.66333333,1.855,11.815,622.0516667,165.6633333,31.435,70.4,114,228,5.495,-1.25,7.925,0.3,288.7,342.1,0,206.5,0,0,258.2,0,0,0,0,0,0,0,0,0,0,1095.5,0.980829375,4,0.707518838
Dunga,Control,DungaControl,May,26.82,39,81,3.854848485,1.151515152,6.047619047,1.697058824,8.895833333,77.51515152,92,22.22833333,18,83,166,4.72,-162.45,7.295,0.55,283,11.9,0,454.7,0,0,313,132.1,0,0,0,0,0,0,0,0,60.7,1255.4,1.487156573,6,0.829997887
Dunga,Control,DungaControl,June,24.485,39,75,4.67829798,2.363636364,6.523809524,5.775098039,30.89583333,83.27272727,81.83333333,15.46383333,23.95,83,165.5,3.315,-203.3,7.33,0.375,114.1,0,0,53.7,0,27,1084.6,0,0,0,0,0,0,0,0,0,0,1279.4,0.766269423,4,0.552746548
Dunga,Control,DungaControl,July,25.45,30,70.33333333,12.96969697,9.484848486,23.90476191,12.53705882,46.5,355.5304546,149.3102381,33.939,43.5,73.5,146.5,4.85,-211.3,7.725,0.325,294.7,277.9,0,0,0,0,123.6,0,0,0,0,0,0,0,0,0,0,696.2,0.365818976,3,0.332982782
Mfangano,Control,MfanganoControl,November,26.425,33.33333333,62.33333333,2.313131313,1.656565657,12.71428571,1.328431373,7.645833333,1259.636364,43.90476191,4.648333333,1.6,52,103.5,6.88,87,8.64,2.7,1125.1,0,0,0,0,0,0,1084.3,0,0,0,0,0,0,0,0,0,2209.4,0.584848622,2,0.843758206
Mfangano,Control,MfanganoControl,December,25.665,33.66666667,50.33333333,9.939393942,1.252525253,28.19047619,3.010784314,14.625,277.5151515,49.38095238,3.976666667,1.4,48,95.5,4.835,49.75,7.865,2.95,208.1,0,0,0,0,0,0,1664.6,0,0,0,0,0,0,0,0,0,1872.7,0.084203851,2,0.121480478
Mfangano,Control,MfanganoControl,January,26.395,27.33333333,48,2.896666667,1.836666667,8.223333333,1.748333333,32.39666667,222.0583333,34.77333333,10.12666667,1.55,46.5,101.35,5.715,55.3,7.73,2.9,0,0,0,0,0,0,0,1414.2,0,24.5,0,0,0,0,0,0,0,1438.7,0.079487003,2,0.114675505
Mfangano,Control,MfanganoControl,February,27.02,43,55,6.311515152,0.54530303,10.33261905,4.026470588,9.625833333,337.0760606,38.19071429,5.236666667,1.3,46.5,93,5.95,-3.66,8.49,2.65,17.8,0,0,0,0,0,0,2464.5,0,0,0,0,0,0,0,0,0,2482.3,0.04921272,2,0.070998947
Mfangano,Control,MfanganoControl,March,27.445,24.66666667,49,2.090909091,1.100505051,27.30333333,4.027156863,2.165,723.6898485,55.80904762,7.2528255,1.75,51.5,103,6.22,-18.25,8.055,2,15.8,0,0,0,0,0,0,833.6,0,9.7,0,0,26.3,0,0,0,0,885.4,0.348201796,4,0.251174502
Mfangano,Control,MfanganoControl,April,27.315,27.33333333,60,1.991666667,0.57,5.313333333,2.885,3.48,176.9733333,144.89,4.665,2.6,53,104,6.38,-47,8.235,1.45,0,0,0,0,0,0,115.8,851.9,0,51.1,0,0,0,0,0,0,0,1018.8,0.286026223,3,0.260352288
Mfangano,Control,MfanganoControl,May,26.82,28,52,3.323737374,0.848484849,2.714285715,1.98627451,5.770833333,83.57575757,14.85714286,4.738333333,1.65,49.5,98.5,6.07,-175.4,8.215,2.4,24,0,0,0,0,0,0,1349.9,0,0,0,0,0,0,0,0,0,1373.9,0.040498826,2,0.058427456
Mfangano,Control,MfanganoControl,June,25.525,26.33333333,51.66666667,2.313131313,0.545454546,22.95238095,2.520392157,3.41625,55.6969697,54.80976191,5.999333333,1.55,46.5,93,3.785,-159.75,7.33,2.65,0,0,0,0,0,0,0,1196.6,0,0,0,0,0,0,0,0,0,1196.6,0,1,0
Mfangano,Control,MfanganoControl,July,25.375,24.33333333,50,6.202020202,0.797979798,17.23809524,0.912156863,14.9375,56.3030303,132.8811905,7.976666667,1.35,51,102.5,6.105,-210.55,7.91,3,127.7,0,0,0,0,0,0,1390.8,0,36,0,0,0,0,0,0,0,1554.5,0.134638106,3,0.122552886
Naya,Control,NayaControl,November,27.62,41.66666667,71,5.545454546,1.858585859,27.71428571,6.843137255,13.79166667,422.6666667,61.04761905,8.206666667,8.75,59,118,6.62,76.55,8.395,1.1,172.4,107.5,0,0,0,0,0,19.8,537.2,2.4,0,0,0,0,0,0,0,839.3,1.302918492,5,0.809548776
Naya,Control,NayaControl,December,25.74,32.33333333,60,19.93939394,3.878787879,49.38095238,9.986274512,63.6875,382.6666667,75.57142857,8.7,10.6,59,118,5.24,45.4,7.455,1,0,11.3,0,0,0,0,0,120.4,454.9,0,0,0,0,0,0,0,0,586.6,0.893223951,3,0.813047478
Naya,Control,NayaControl,January,27.87,36.66666667,55,4.41,2.736666667,28.39166667,3.608333333,8.541666667,232.4333333,69.3,21.93333333,9.5,52,103.5,5.905,58.45,8.42,0.8,99.8,0,0,0,0,0,66,436.9,38.7,0,0,0,0,0,0,0,0,641.4,0.663179453,4,0.478382854
Naya,Control,NayaControl,February,27.94,29.66666667,60.33333333,7.060909091,0.49479798,5.142380953,5.985980392,4.520833333,611.7563637,62.35642857,10.28283333,7.85,52,105,6.05,-16.7,8.855,1,204.2,0,0,19.5,0,0,58.6,178.5,0,0,0,0,0,0,0,0,0,460.8,1.069917342,4,0.771782222
Naya,Control,NayaControl,March,27.76,29,59,3.06479798,1.259848485,16.45214286,5.972647059,7.898333333,604.984394,59.3802381,16.74391167,7.35,56,112,6.705,-21.25,8.285,1.15,114.2,0,0,0,0,0,0,77.2,0,0,0,0,0,0,0,0,0,191.4,0.689009238,2,0.994030211
Naya,Control,NayaControl,April,27.09,27,56.66666667,3.295,0.62,2.001666667,4.728333333,10.77166667,217.085,95.90333333,8.988333333,7.45,53,106.5,5.03,-53.6,8.39,1.3,223.8,99.6,0,0,0,0,0,0,183.6,0,0,0,0,0,0,0,0,507,1.048653789,3,0.954525814
Naya,Control,NayaControl,May,28.405,27,60,3.894191919,0.696969697,2.238095238,3.393137255,9.729166667,45.09090909,20.57142857,7.541666667,6.05,54.5,108,6.395,-173.5,8.25,1.15,524.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524.9,0,1,0
Naya,Control,NayaControl,June,26.87,28.66666667,62.66666667,3.929292929,0.646464647,3.19047619,4.730980392,15.23333333,49.33333334,43.64880953,17.4965,6.9,53,106.5,4.735,-170.95,8.135,1.05,246.9,0,0,0,0,0,0,38.8,0,181.7,0,0,0,0,0,0,0,467.4,0.830517825,3,0.755969903
Naya,Control,NayaControl,July,26.325,31.5,58.33333333,10.64646465,7.010101011,17.71428572,2.408529412,20.97916667,87.21212121,92.58619048,7.713333333,8.85,58.5,116.5,5.78,-201.15,8.31,1,504.6,0,0,0,0,0,0,17.8,0,0,0,0,0,0,0,0,0,522.4,0.376770161,2,0.543564443
Ndere,Control,NdereControl,November,26.875,46.33333333,85.66666667,14.38439394,3.273989899,30.0947619,22.33196078,20.56416667,796.909394,146.8097619,38.52216667,33.5,80,159,6.17,75.55,7.705,0.475,64.1,7.7,0,312.1,0,18.9,0,0,0,4.3,0,0,0,0,0,0,0,407.1,1.12753479,5,0.700576755
Ndere,Control,NdereControl,December,25.915,45,93.33333333,30.84848485,12.86868687,57.71428571,23.26470588,17.02083333,427.5151515,134.1428571,10.37416667,28.55,78,156,5.72,53.15,7.38,0.6,483.1,12.5,0,202.5,0,0,0,0,0,0,0,0,0,0,0,0,0,698.1,0.778132548,3,0.708286769
Ndere,Control,NdereControl,January,25.9,39.33333333,72.33333333,32.06060606,10.54545455,57,23.50588235,33.89583333,1340.242424,96.28571429,17.14666667,27.4,71,148.55,5.69,65.25,8.235,0.475,362,53,0,308.2,0,89.6,0,0,69.6,0,0,0,0,0,0,0,0,882.4,1.468162658,5,0.912220749
Ndere,Control,NdereControl,February,26.545,38.66666667,70,6.768333333,5.008333333,20.05333333,25.515,11.04,322.7966667,83.56666667,15.17833333,31.9,72,144.5,6.155,18.9,8.04,0.6,69,258.2,0,0,0,0,74.4,143.5,0,11.1,0,0,0,0,0,0,0,556.2,0.633446423,5,0.393582392
Ndere,Control,NdereControl,March,27.615,29.66666667,93.33333333,15.6119697,10.19161616,24.61976191,14.78029412,28.3725,688.6513637,109.1819048,53.501429,36.1,97.175,155,6.665,-16,8.37,0.375,469.4,73.5,12.3,145.2,0,0,0,0,0,0,0,0,0,0,0,0,0,700.4,1.161120818,4,0.837571623
Ndere,Control,NdereControl,April,26.96,39,94.33333333,11.07166667,8.465,30.05666667,8.098333333,17.33333333,663.635,129.6466667,18.93833333,33.5,75.5,151,5.75,-53.95,8.23,0.5,757.1,102.3,0,36.3,0,0,67.9,0,0,0,0,0,0,0,22.5,16.7,0,1002.8,1.179668011,5,0.732968946
Ndere,Control,NdereControl,May,27.23,45,75,9.001868687,4.636363636,10.0952381,12.69705883,12.22916667,61.75757576,79.85714286,9.95,32.45,74,148,5.545,-172.8,7.93,0.45,963.2,1864.9,0,186.9,0,0,0,0,0,0,0,0,0,0,70.5,0,0,3085.5,0.245658127,4,0.177204881
Ndere,Control,NdereControl,June,25.135,41,71.66666667,11.60606061,1.858585859,32.47619048,13.98098039,31.81416667,67.21212121,86.44157143,7.234666667,32.55,74.5,149.5,4.83,-180.3,7.915,0.4,743.6,1915.6,0,321.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2981.1,0.233794712,3,0.212809118
Ndere,Control,NdereControl,July,25.815,31.66666667,76,12.76767677,12.26262626,30.57142857,9.949607843,15.5625,302.3636364,203.427381,31.00833333,23.75,74.5,148.5,6.46,-217,8.8,0.5,607.5,562,0,234.8,0,0,0,0,125.9,0,18.3,0,0,0,0,0,0,1548.5,0.599657665,5,0.372588256
